id,date,stagnant,Caline1.5,caline3
FS023,2012-10-27,46,0.3911,0.468
FS023,2012-11-10,35,0.336,0.3954
FS023,2012-11-24,22,0.2623,0.3109
FS023,2012-12-8,40,0.2553,0.3056
FS024,2012-8-18,52,0.7056,0.7596
FS024,2012-9-1,42,0.7551,0.8248
FS024,2012-9-15,113,0.9138,0.9769
FS024,2012-9-29,52,0.7739,0.839
FS024,2012-10-13,38,0.7034,0.7666
FS024,2012-10-27,46,0.8277,0.9038
FS024,2012-11-10,35,0.6026,0.6566
FS024,2012-11-24,22,0.6994,0.7697
FS024,2012-12-8,40,0.6522,0.7078
FS025,2012-8-18,52,0.0375,0.0569
FS025,2012-9-1,42,0.016,0.031
FS025,2012-9-15,113,0.0399,0.0643
FS025,2012-9-29,52,0.0248,0.0428
FS025,2012-10-13,38,0.0427,0.0709
FS025,2012-10-27,46,0.0372,0.0799
FS025,2012-11-10,35,0.034,0.0742
FS025,2012-11-24,22,0.0329,0.0577
FS025,2012-12-8,40,0.0364,0.0617
FS026,2012-8-18,52,0.0988,0.1689
FS026,2012-9-1,42,0.0938,0.1645
FS026,2012-9-15,113,0.2022,0.3106
FS026,2012-9-29,52,0.0922,0.1626
FS026,2012-10-13,38,0.0723,0.1493
FS026,2012-10-27,46,0.0522,0.1169
FS026,2012-11-10,35,0.0853,0.1451
FS026,2012-11-24,22,0.0534,0.134
FS026,2012-12-8,40,0.0429,0.1062
FS027,2012-8-18,52,0.1653,0.2126
FS027,2012-9-1,42,0.1001,0.1701
FS027,2012-9-15,113,0.2234,0.3066
FS027,2012-9-29,52,0.1145,0.1851
FS027,2012-10-13,38,0.1636,0.2252
FS027,2012-10-27,46,0.1437,0.2139
FS027,2012-11-10,35,0.1156,0.1807
FS027,2012-11-24,22,0.1304,0.2094
FS027,2012-12-8,40,0.1327,0.1853
